,index,img_path,caption,foil,linguistic_phenomena,clip_pred_caption,clip_pred_foil,clip_pred_diff,performance_group,Approval,Notes
0,1196,../VALSE_data/images/swig/speaking_84.jpg,A baby speaks on a telephone.,A baby sits on a telephone.,actions,28.02443504333496,28.10685920715332,-0.08242416381835938,low_perf,Approve,
1,1974,../VALSE_data/images/swig/kicking_154.jpg,A soccer player kicks a soccer ball.,A soccer ball kicks a soccer player.,actions,25.842212677001953,26.00271224975586,-0.16049957275390625,low_perf,Reject,Impossible foil
2,1635,../VALSE_data/images/swig/juggling_131.jpg,A ballplayer juggles a baseball.,A ballplayer disciplines a baseball.,actions,28.437280654907227,28.478925704956055,-0.041645050048828125,low_perf,Unsure,Implausible foil
3,1684,../VALSE_data/images/swig/pulling_192.jpg,A truck pulls a boat.,A truck punts a boat.,actions,26.245920181274414,28.0289249420166,-1.7830047607421875,low_perf,Unsure,Implausible foil
4,1042,../VALSE_data/images/swig/displaying_251.jpg,A man displays a certificate.,A man carries a certificate.,actions,27.329450607299805,28.54937171936035,-1.2199211120605469,low_perf,Unsure,Both are correct
5,1461,../VALSE_data/images/swig/ignoring_131.jpg,A woman ignores a female child.,A woman trains a female child.,actions,21.685972213745117,21.86963653564453,-0.18366432189941406,low_perf,Unsure,Neither appear correct
6,1613,../VALSE_data/images/swig/peeing_49.jpg,A male child pees a toilet.,A male child stitches a toilet.,actions,25.53607749938965,28.393577575683594,-2.8575000762939453,low_perf,Reject,Implausible foil
7,1604,../VALSE_data/images/swig/shopping_215.jpg,A woman shops at a grocery store.,A woman winks at a grocery store.,actions,28.24443817138672,28.06576156616211,0.17867660522460938,low_perf,Approve,
8,1489,../VALSE_data/images/swig/tripping_125.jpg,A man trips across a wire.,A man claws across a wire.,actions,27.444791793823242,27.190013885498047,0.2547779083251953,low_perf,Approve,
9,1961,../VALSE_data/images/swig/tripping_3.jpg,A person trips across a rug.,A rug trips over a person.,actions,31.17524528503418,31.609752655029297,-0.4345073699951172,low_perf,Unsure,Implausible foil
10,2232,../VALSE_data/images/swig/shushing_24.jpg,A man shushes people.,The people shush the man.,actions,22.17746925354004,24.964048385620117,-2.786579132080078,low_perf,Approve,
11,2368,../VALSE_data/images/swig/coaching_58.jpg,A man coaches a child.,A child coaches a man.,actions,30.96051788330078,31.125288009643555,-0.16477012634277344,low_perf,Approve,
12,1657,../VALSE_data/images/swig/igniting_258.jpg,A man ignites a cigarette.,A man wrinkles a cigarette.,actions,32.50581741333008,34.224327087402344,-1.7185096740722656,low_perf,Approve,
13,2153,../VALSE_data/images/swig/slipping_6.jpg,A man slips to the floor.,A floor slips under a man.,actions,28.05013656616211,29.178939819335938,-1.1288032531738281,low_perf,Unsure,Implausible foil
14,2535,../VALSE_data/images/swig/frisking_20.jpg,A policeman frisks a man.,A man frisks a policeman.,actions,28.924657821655273,28.618431091308594,0.3062267303466797,low_perf,Approve,
15,2418,../VALSE_data/images/swig/descending_171.jpg,A woman descends down the stairs.,The stairs descend behind the woman.,actions,28.14665412902832,26.42215347290039,1.7245006561279297,medium_perf,Unsure,confusing foil
16,1274,../VALSE_data/images/swig/buttoning_155.jpg,A man buttons up a dress shirt.,A man tugs up a dress shirt.,actions,28.157909393310547,27.476848602294922,0.681060791015625,medium_perf,Approve,
17,1761,../VALSE_data/images/swig/teaching_41.jpg,A woman teaches a child.,A child teaches a woman.,actions,23.714141845703125,22.93937110900879,0.7747707366943359,medium_perf,Approve,
18,2053,../VALSE_data/images/swig/instructing_116.jpg,A woman instructs people.,The people instruct the woman.,actions,22.961177825927734,21.717008590698242,1.2441692352294922,medium_perf,Approve,
19,1569,../VALSE_data/images/swig/browsing_233.jpg,A woman browses the cheese.,A woman milks the cheese.,actions,22.31461524963379,20.633394241333008,1.6812210083007812,medium_perf,Unsure,Implausible foil
20,2632,../VALSE_data/images/swig/driving_253.jpg,A man drives a trailer truck.,A trailer truck drives past a man.,actions,27.202665328979492,26.253917694091797,0.9487476348876953,medium_perf,Approve,
21,1535,../VALSE_data/images/swig/saluting_231.jpg,A child salutes a soldier.,A child camps a soldier.,actions,27.72386932373047,26.69707489013672,1.02679443359375,medium_perf,Reject,Semantically invalid foil
22,1746,../VALSE_data/images/swig/disembarking_110.jpg,The people disembark a raft.,A raft disembarks people.,actions,29.905197143554688,29.02931785583496,0.8758792877197266,medium_perf,Reject,Meaning of foil is unclear.
23,2051,../VALSE_data/images/swig/educating_205.jpg,A woman educates a child.,A child educates a woman.,actions,27.03301239013672,26.064250946044922,0.9687614440917969,medium_perf,Approve,
24,1106,../VALSE_data/images/swig/socializing_108.jpg,A dog socializes with a dog.,A dog interviews with a dog.,actions,28.79409408569336,28.122283935546875,0.6718101501464844,medium_perf,Unsure,Implausible foil
25,2186,../VALSE_data/images/swig/arresting_186.jpg,A policeman arrests a man.,A man arrests a policeman.,actions,29.382186889648438,28.43413543701172,0.9480514526367188,medium_perf,Approve,
26,1654,../VALSE_data/images/swig/stumbling_3.jpg,A man stumbles to the floor.,A man subdues to the floor.,actions,25.66916847229004,23.955617904663086,1.7135505676269531,medium_perf,Reject,Semantically invalid foil
27,2379,../VALSE_data/images/swig/brewing_85.jpg,A man brews his coffee.,A coffee brews for the man.,actions,24.665727615356445,23.279647827148438,1.3860797882080078,medium_perf,Unsure,Meaning of foil is not clear.
28,2006,../VALSE_data/images/swig/scolding_130.jpg,A parent scolds such a child.,A child scolds its parent.,actions,24.59381103515625,24.011873245239258,0.5819377899169922,medium_perf,Approve,
29,2351,../VALSE_data/images/swig/handcuffing_40.jpg,A man handcuffs a woman.,A woman handcuffs a man.,actions,33.52250671386719,33.06528854370117,0.4572181701660156,medium_perf,Approve,
30,1641,../VALSE_data/images/swig/urinating_251.jpg,A man urinates against a wall.,A man skates against a wall.,actions,31.36766242980957,24.135643005371094,7.232019424438477,high_perf,Approve,
31,1386,../VALSE_data/images/swig/mopping_21.jpg,A woman mops on the floor.,A woman slips on the floor.,actions,29.988262176513672,23.148582458496094,6.839679718017578,high_perf,Approve,
32,1244,../VALSE_data/images/swig/caressing_51.jpg,A man caresses a man.,A man chases a man.,actions,25.250383377075195,22.0282039642334,3.222179412841797,high_perf,Approve,
33,1291,../VALSE_data/images/swig/educating_66.jpg,A woman educates a child.,A woman sucks a child.,actions,25.359498977661133,20.889144897460938,4.470354080200195,high_perf,Reject,Disturbing and implausible foil
34,1534,../VALSE_data/images/swig/scolding_34.jpg,A mother scolds her daughter.,A mother encourages her daughter.,actions,29.34079360961914,26.430864334106445,2.9099292755126953,high_perf,Approve,
35,1427,../VALSE_data/images/swig/hunting_238.jpg,A dog hunts a rabbit.,A dog claws a rabbit.,actions,30.45479965209961,28.19536590576172,2.2594337463378906,high_perf,Approve,
36,1887,../VALSE_data/images/swig/counting_3.jpg,A homo counts the ballot.,A ballot counts as a homo.,actions,20.738557815551758,18.631458282470703,2.1070995330810547,high_perf,Reject,Both caption and foil invalid
37,2393,../VALSE_data/images/swig/kneeling_153.jpg,A woman kneels behind a mat.,A mat kneels beside the woman.,actions,28.736591339111328,24.780078887939453,3.956512451171875,high_perf,Reject,Invalid foil
38,2392,../VALSE_data/images/swig/kneeling_74.jpg,A woman kneels behind a mat.,A mat kneels beside the woman.,actions,27.541595458984375,24.92569351196289,2.6159019470214844,high_perf,Reject,Invalid foil
39,2148,../VALSE_data/images/swig/skipping_120.jpg,A woman skips a jump rope.,A rope skips toward the woman.,actions,31.555347442626953,23.795146942138672,7.760200500488281,high_perf,Reject,Foil semantically invalid
40,1782,../VALSE_data/images/swig/working_14.jpg,A person works with art.,An art works by a person.,actions,25.943614959716797,23.917892456054688,2.0257225036621094,high_perf,Reject,Invalid foil
41,1477,../VALSE_data/images/swig/tackling_118.jpg,A soccer player tackles the opposition.,A soccer player coaches the opposition.,actions,28.663789749145508,25.34127426147461,3.3225154876708984,high_perf,Approve,
42,2015,../VALSE_data/images/swig/chiseling_195.jpg,A man chisels a metallic element.,A metallic element chisels man.,actions,25.211313247680664,21.713253021240234,3.4980602264404297,high_perf,Reject,Semantically invallid foil
43,1744,../VALSE_data/images/swig/sniffing_185.jpg,A dog sniffs the ground.,A ground sniffs like a dog.,actions,32.28926467895508,29.49822425842285,2.7910404205322266,high_perf,Reject,Semantically invalid foil
44,2192,../VALSE_data/images/swig/peeing_180.jpg,A man pees over a wall.,A wall pees on a man.,actions,28.196701049804688,25.20480728149414,2.991893768310547,high_perf,Unsure,Implausible foil
45,49,../VALSE_data/images/coco2017/000000429281.jpg,There are many bananas sitting on the shelf.,There are many bananas sitting under the shelf.,relations,28.25916862487793,28.509931564331055,-0.250762939453125,low_perf,Approve,
46,389,../VALSE_data/images/coco2017/000000389684.jpg,a man walks down a sidewalk as a vehicle passes,A man walks up a sidewalk as a vehicle passes,relations,25.878782272338867,26.170013427734375,-0.2912311553955078,low_perf,Unsure,Both could be valid.
47,250,../VALSE_data/images/coco2017/000000241297.jpg,A train with a gold front is going down the tracks.,A train with a gold front is going up the tracks.,relations,23.222089767456055,23.500476837158203,-0.27838706970214844,low_perf,Unsure,Track looks flat. Both could be valid.
48,231,../VALSE_data/images/coco2017/000000500613.jpg,A fire truck sitting in the stations park lot.,A fire truck sitting beside the stations park lot.,relations,28.98672103881836,29.2130069732666,-0.2262859344482422,low_perf,Approve,
49,294,../VALSE_data/images/coco2017/000000121506.jpg,An umbrella on a backyard patio is upturned from the wind.,An umbrella on a backyard patio is upturned into the wind.,relations,30.647390365600586,30.883705139160156,-0.2363147735595703,low_perf,Unsure,Foil is possibly semantically invalid.
50,327,../VALSE_data/images/coco2017/000000190140.jpg,A man driving a boat with his dog looking out over the bow.,A man driving a boat with his dog looking in over the bow.,relations,32.49522018432617,33.22499465942383,-0.7297744750976562,low_perf,Approve,
51,330,../VALSE_data/images/coco2017/000000384666.jpg,There are some skiers heading down a slope,There are some skiers heading up a slope,relations,28.631332397460938,28.686115264892578,-0.054782867431640625,low_perf,Approve,
52,374,../VALSE_data/images/coco2017/000000140583.jpg,A herd of sheep with two sherds moving down a road in the mountains.,A herd of sheep with two sherds moving up a road in the mountains.,relations,32.899105072021484,33.17515563964844,-0.2760505676269531,low_perf,Unsure,Unclear if moving up or down
53,387,../VALSE_data/images/coco2017/000000350405.jpg,A man riding a snowboard down a ski slope.,A man riding a snowboard up a ski slope.,relations,33.04645919799805,33.21890640258789,-0.17244720458984375,low_perf,Approve,
54,347,../VALSE_data/images/coco2017/000000360960.jpg,A person is holding up a large colorful umbrella,A person is holding down a large colorful umbrella,relations,38.22724914550781,38.82829284667969,-0.601043701171875,low_perf,Approve,
55,125,../VALSE_data/images/coco2017/000000511599.jpg,Several people are standing outside a large boat.,Several people are standing in a large boat.,relations,27.827720642089844,28.397239685058594,-0.56951904296875,low_perf,Approve,
56,354,../VALSE_data/images/coco2017/000000168619.jpg,A narrow pathway leads to a residential area.,A narrow pathway leads past a residential area.,relations,24.68839454650879,24.7429141998291,-0.0545196533203125,low_perf,Unsure,Both could be correct.
57,314,../VALSE_data/images/coco2017/000000461751.jpg,A man sitting on a motorcycle smoking a cigarette.,A man sitting alongside a motorcycle smoking a cigarette.,relations,28.577281951904297,29.035017013549805,-0.4577350616455078,low_perf,Approve,
58,146,../VALSE_data/images/coco2017/000000255749.jpg,A man stands beside a bus in a snowy forest at night.,A man stands in a bus in a snowy forest at night.,relations,30.169837951660156,31.439241409301758,-1.2694034576416016,low_perf,Unsure,Both seem correct.
59,491,../VALSE_data/images/coco2017/000000368961.jpg,Two mini elephants walking  toward people on a plank,Two mini elephants walking past people on a plank,relations,25.681730270385742,25.717679977416992,-0.03594970703125,low_perf,Approve,
60,482,../VALSE_data/images/coco2017/000000121744.jpg,A tennis player looks up with his leg in the air as photographers snap photos.,A tennis player looks down with his leg in the air as photographers snap photos.,relations,31.526567459106445,31.474395751953125,0.05217170715332031,medium_perf,Approve,
61,298,../VALSE_data/images/coco2017/000000568439.jpg,A man walking down a street past a double decker bus.,A man walking down a street towards a double decker bus.,relations,32.83506774902344,32.52022171020508,0.3148460388183594,medium_perf,Approve,
62,23,../VALSE_data/images/coco2017/000000338624.jpg,A man is walking a dog on a sidewalk.,A man is walking a dog off a sidewalk.,relations,33.87690353393555,33.56461715698242,0.312286376953125,medium_perf,Approve,
63,407,../VALSE_data/images/coco2017/000000439593.jpg,A passenger train pulls into a train station.,A passenger train pulls past a train station.,relations,28.7431640625,28.34053611755371,0.40262794494628906,medium_perf,Unsure,Both could be correct.
64,86,../VALSE_data/images/coco2017/000000382122.jpg,A church with a clock stands behind a fence,A church with a clock stands on a fence,relations,27.609907150268555,27.489185333251953,0.12072181701660156,medium_perf,Unsure,Implausible foil
65,429,../VALSE_data/images/coco2017/000000165500.jpg,a couple of animals walk through the grass,A couple of animals walk over the grass,relations,27.770824432373047,27.702011108398438,0.06881332397460938,medium_perf,Approve,
66,163,../VALSE_data/images/coco2017/000000060090.jpg,A yellow train is pulling in to a train station.,A yellow train is pulling out to a train station.,relations,28.637414932250977,28.499509811401367,0.13790512084960938,medium_perf,Unsure,Both could be correct
67,154,../VALSE_data/images/coco2017/000000574810.jpg,A cat is seated in a window sell looking outside the window,A cat is seated in a window sell looking in the window,relations,27.976318359375,27.633352279663086,0.34296607971191406,medium_perf,Approve,
68,96,../VALSE_data/images/coco2017/000000290619.jpg,A banana is sitting beside a large bowl storage container.,A banana is sitting on a large bowl storage container.,relations,35.38661193847656,34.9041862487793,0.4824256896972656,medium_perf,Approve,
69,118,../VALSE_data/images/coco2017/000000368212.jpg,A toddler sits on a toilet while brushing his teeth.,A toddler sits behind a toilet while brushing his teeth.,relations,35.5059814453125,35.50691604614258,-0.000934600830078125,medium_perf,Approve,
70,115,../VALSE_data/images/coco2017/000000089078.jpg,A person is snowboarding slowly down a covered hill.,A person is snowboarding slowly up a covered hill.,relations,34.15126419067383,34.04117965698242,0.11008453369140625,medium_perf,Unsure,Foil is implausible
71,504,../VALSE_data/images/coco2017/000000579818.jpg,The old fashioned train is going over the bridge.,The old fashioned train is going down the bridge.,relations,27.410144805908203,26.979957580566406,0.4301872253417969,medium_perf,Approve,
72,483,../VALSE_data/images/coco2017/000000184978.jpg,there is a snowboarder coming down a very steep hill,There is a snowboarder coming up a very steep hill,relations,26.397817611694336,25.999401092529297,0.39841651916503906,medium_perf,Approve,
73,343,../VALSE_data/images/coco2017/000000198510.jpg,A man carrying a bag walking down the train tracks.,A man carrying a bag walking up the train tracks.,relations,27.938732147216797,27.634408950805664,0.3043231964111328,medium_perf,Unsure,Both could be correct.
74,315,../VALSE_data/images/coco2017/000000278848.jpg,People are standing in the rain alongside a bus.,People are standing in the rain on a bus.,relations,33.470577239990234,33.032352447509766,0.43822479248046875,medium_perf,Approve,
75,44,../VALSE_data/images/coco2017/000000367195.jpg,A picture of a dog laying under a table on the rug.,A picture of a dog laying at a table on the rug.,relations,29.292770385742188,28.47041130065918,0.8223590850830078,high_perf,Unsure,Foil is not incorrect.
76,129,../VALSE_data/images/coco2017/000000245026.jpg,A woman wearing glasses poses behind her birthday cake.,A woman wearing glasses poses on her birthday cake.,relations,31.97724723815918,30.899171829223633,1.0780754089355469,high_perf,Unsure,Highly implausible foil
77,494,../VALSE_data/images/coco2017/000000217400.jpg,A train is pulling into a subway stop.,A train is pulling past a subway stop.,relations,26.769210815429688,25.926616668701172,0.8425941467285156,high_perf,Unsure,Both could be correct.
78,85,../VALSE_data/images/coco2017/000000517832.jpg,The black dog sits alertly on the vintage chair.,The black dog sits alertly behind the vintage chair.,relations,30.919231414794922,30.097469329833984,0.8217620849609375,high_perf,Approve,
79,26,../VALSE_data/images/coco2017/000000194471.jpg,A man on a skateboard is coming up a ramp.,A man on a skateboard is coming down a ramp.,relations,27.64507484436035,27.13020133972168,0.5148735046386719,high_perf,Unsure,Both could be correct.
80,273,../VALSE_data/images/coco2017/000000121586.jpg,A cat is on the television screen in an office.,A cat is below the television screen in an office.,relations,27.276439666748047,25.306310653686523,1.9701290130615234,high_perf,Unsure,Both could be correct
81,281,../VALSE_data/images/coco2017/000000082696.jpg,A bird is walking right through a dining room.,A bird is walking right by a dining room.,relations,32.5405158996582,30.057785034179688,2.4827308654785156,high_perf,Approve,
82,61,../VALSE_data/images/coco2017/000000118209.jpg,there are two horses standing behind a fence,There are two horses standing on a fence,relations,31.7415828704834,29.95907974243164,1.7825031280517578,high_perf,Approve,
83,34,../VALSE_data/images/coco2017/000000393226.jpg,The man is walking behind the concession bus.,The man is walking down the concession bus.,relations,26.42461585998535,25.223182678222656,1.2014331817626953,high_perf,Unsure,Invalid foil
84,38,../VALSE_data/images/coco2017/000000089880.jpg,Two dogs are playing together on the grass,Two dogs are playing together under the grass,relations,29.409923553466797,28.66649627685547,0.7434272766113281,high_perf,Approve,
85,105,../VALSE_data/images/coco2017/000000116439.jpg,A person sits in a small boat on the water.,A person sits beside a small boat on the water.,relations,32.21931076049805,31.05054473876953,1.1687660217285156,high_perf,Approve,
86,240,../VALSE_data/images/coco2017/000000057027.jpg,A baby elephant walks with an older elephant,A baby elephant walks past an older elephant,relations,29.852327346801758,29.327898025512695,0.5244293212890625,high_perf,Approve,
87,225,../VALSE_data/images/coco2017/000000082807.jpg,A dog is sitting in a chair at a table.,A dog is sitting beside a chair at a table.,relations,30.1862735748291,29.606693267822266,0.5795803070068359,high_perf,Approve,
88,355,../VALSE_data/images/coco2017/000000493019.jpg,A group of zebras are bending down and eating a box full of grass.,A group of zebras are bending up and eating a box full of grass.,relations,36.19632339477539,35.408809661865234,0.7875137329101562,high_perf,Approve,
89,253,../VALSE_data/images/coco2017/000000290081.jpg,A group of oranges are sitting in the bowl,A group of oranges are sitting near the bowl,relations,33.729270935058594,32.52736282348633,1.2019081115722656,high_perf,Approve,
